iter	Passed	Remaining
807	50784	12067
808	50804	11994
809	50826	11922
811	51131	11838
812	51207	11778
813	51277	11716
814	51406	11668
815	51559	11626
816	51647	11568
817	51724	11508
818	51830	11454
819	51956	11405
820	52076	11354
821	52251	11314
822	52389	11267
823	52447	11202
824	52527	11142
825	52631	11087
826	52722	11029
827	52786	10965
828	52917	10915
829	53041	10864
830	53131	10805
831	53270	10756
832	53366	10698
833	53432	10635
834	53493	10570
835	53566	10508
836	53628	10443
837	53697	10380
838	53744	10313
839	53817	10250
840	53876	10185
841	53926	10119
842	53994	10055
843	54058	9991
844	54114	9926
845	54165	9859
846	54222	9794
847	54260	9725
848	54302	9658
849	54365	9593
850	54424	9529
851	54479	9463
852	54533	9397
853	54585	9331
854	54634	9265
855	54689	9200
856	54738	9133
857	54792	9068
858	54834	9000
859	54891	8935
860	54936	8868
861	54991	8803
862	55045	8738
863	55093	8672
864	55138	8605
865	55187	8539
866	55247	8475
867	55291	8408
868	55341	8342
869	55390	8276
870	55435	8210
871	55487	8144
872	55540	8079
873	55629	8019
874	55688	7955
875	55753	7892
876	55824	7829
877	55904	7768
878	55981	7706
879	56034	7641
880	56080	7575
881	56123	7508
882	56176	7443
883	56209	7375
884	56250	7309
885	56290	7242
886	56336	7176
887	56382	7111
888	56417	7044
889	56495	6982
890	56579	6921
891	56654	6859
892	56698	6793
893	56762	6730
894	56812	6665
895	56893	6603
896	56939	6538
897	56988	6473
898	57054	6409
899	57101	6344
900	57149	6279
901	57215	6216
902	57265	6151
903	57321	6087
904	57369	6022
905	57427	5958
906	57594	5905
907	57648	5841
908	57692	5775
909	57738	5710
910	57797	5646
911	57845	5581
912	57892	5516
913	57941	5451
914	58022	5390
915	58079	5326
916	58129	5261
917	58191	5197
918	58246	5133
919	58298	5069
920	58345	5004
921	58391	4939
922	58445	4875
923	58481	4810
924	58535	4746
925	58584	4681
926	58632	4617
927	58685	4553
928	58725	4488
929	58778	4424
930	58826	4359
931	58889	4296
932	58945	4232
933	58986	4168
934	59031	4103
935	59081	4039
936	59144	3976
937	59176	3911
